artist_id,genre
4qKIiUdFND09cgGOc5kfoR,vocal jazz
5FbBZ9ZLIoVdgbbnGmsKNk,compositional ambient
5FbBZ9ZLIoVdgbbnGmsKNk,focus
5FbBZ9ZLIoVdgbbnGmsKNk,neo-classical
5FbBZ9ZLIoVdgbbnGmsKNk,nu age
0NyzfcGDZZ6GM25EBG9BYK,theme
0smy8yDrRoI4CnhpOuthg0,album rock
0smy8yDrRoI4CnhpOuthg0,new romantic
0smy8yDrRoI4CnhpOuthg0,new wave pop
0smy8yDrRoI4CnhpOuthg0,soft rock
0smy8yDrRoI4CnhpOuthg0,synthpop
6JVRYNneRsYNInT4TNr5vU,acoustic pop
6JVRYNneRsYNInT4TNr5vU,neo mellow
2u7J0lL8WdlZBR6SqfyGFb,sleep
0q1jgFxjleKLegFYRiyPxS,sleep
32lVGr0fSRGT6okLKHiP68,freestyle
32lVGr0fSRGT6okLKHiP68,hi-nrg
32lVGr0fSRGT6okLKHiP68,new romantic
32lVGr0fSRGT6okLKHiP68,new wave pop
32lVGr0fSRGT6okLKHiP68,soft rock
32lVGr0fSRGT6okLKHiP68,synthpop
21E3waRsmPlU7jZsS13rcj,dance pop
21E3waRsmPlU7jZsS13rcj,pop
21E3waRsmPlU7jZsS13rcj,r&b
21E3waRsmPlU7jZsS13rcj,urban contemporary
5UCAXVoSSpKZMGnyrTU4hY,color noise
5UCAXVoSSpKZMGnyrTU4hY,white noise
1dLWg6m8RRhizsdqJbhyj3,album rock
1dLWg6m8RRhizsdqJbhyj3,classic rock
1dLWg6m8RRhizsdqJbhyj3,glam metal
1dLWg6m8RRhizsdqJbhyj3,hard rock
1dLWg6m8RRhizsdqJbhyj3,metal
1dLWg6m8RRhizsdqJbhyj3,rock
78rUTD7y6Cy67W1RVzYs7t,bedroom pop
4cxl9RcyEbY0koslSaEKLY,classic pakistani pop
4cxl9RcyEbY0koslSaEKLY,pakistani pop
4cxl9RcyEbY0koslSaEKLY,sufi
7EGwUS3c5dXduO4sMyLWC5,indie folk
7EGwUS3c5dXduO4sMyLWC5,modern folk rock
